,screenName,rtsum,favsum,totaltweets,rtscore,favscore,followers
37,jasonkeithallen,306,853,301,1.016611296,2.833887043,11100
38,JaySekulow,62687,66811,2055,30.50462287,32.51143552,64300
39,JerryJrFalwell,541,1108,16,33.8125,69.25,19700
40,joechampion,715,1840,707,1.011315417,2.602545969,15900
41,JoelOsteen,6968672,10332956,3168,2199.707071,3261.665404,4680000
42,johnmacarthur,9928,9691,796,12.47236181,12.17462312,133000
43,JohnPiper,345315,695884,2736,126.2116228,254.3435673,860000
44,JoyceMeyer,1223542,2275709,2888,423.6641274,787.9878809,4050000
45,judahsmith,139799,181697,1771,78.9378882,102.5957086,376000
46,KirkCameron,18584,28402,1893,9.817221342,15.00369783,61300
47,larrystockstill,3941,6488,376,10.48138298,17.25531915,19800
48,lecrae,177153,367776,460,385.1152174,799.5130435,1090000
49,louiegiglio,67466,140538,1238,54.49596123,113.5201939,557000
50,MattChandler74,18347,54410,551,33.29764065,98.7477314,383000
51,mattfry,419,1263,757,0.553500661,1.668428005,16200
52,MaxLucado,104398,228721,515,202.7145631,444.1184466,1290000
53,michaelhsweet,740,3499,72,10.27777778,48.59722222,67900
54,Michaeljrcomedy,481,2392,138,3.485507246,17.33333333,45200
55,MJGerson,779,1128,59,13.20338983,19.11864407,16400
56,MW55,2437,19305,254,9.594488189,76.00393701,386000
57,PastorChoco,4848,8369,1100,4.407272727,7.608181818,13400
58,pastoremase,4183,12872,618,6.768608414,20.82847896,32100
59,PastorJohnHagee,24133,63450,490,49.25102041,129.4897959,238000
60,PastorMark,143964,198840,1710,84.18947368,116.2807018,525000
61,perrynoble,13147,59935,935,14.06096257,64.10160428,170000
62,philmunsey,49,180,53,0.924528302,3.396226415,30000
63,PriscillaShirer,4717,35899,454,10.38986784,79.07268722,227000
64,pwilson,3814,10931,1356,2.812684366,8.06120944,153000
65,ralphreed,1446,2267,317,4.561514196,7.151419558,11400
66,raycomfort,37393,56366,2741,13.64210142,20.56402773,53300
67,rayortlund,1046,3012,203,5.15270936,14.83743842,23700
68,rdland,248,246,292,0.849315068,0.842465753,2079
69,realrobbell,17085,25210,1259,13.57029388,20.02382844,112000
70,RealRomaDowney,1144,4512,98,11.67346939,46.04081633,159000
71,RevKevDeYoung,52379,92659,1190,44.01596639,77.86470588,140000
72,rick_bezet,2947,8707,778,3.787917738,11.19151671,91200
73,RickWarren,715082,590873,2200,325.0372727,268.5786364,23700
74,RonEdmondson,3739,7494,1041,3.591738713,7.198847262,1840000
75,ronniefloyd,1398,2917,299,4.675585284,9.755852843,137000
76,Sarcasticluther,3508,15112,271,12.94464945,55.76383764,25300
77,ScottWilliams,2566,5139,800,3.2075,6.42375,45800
78,sstrang,579,515,987,0.58662614,0.521783181,144000
79,stevenfurtick,233236,407702,2907,80.23254214,140.248366,4055
80,TDJakesShow,11259,26526,358,31.44972067,74.09497207,313000
81,TedHaggard,68,45,272,0.25,0.165441176,21300
82,ThomRainer,2008,3878,247,8.129554656,15.70040486,938
83,timkellernyc,123644,254780,488,253.3688525,522.0901639,228000
84,TimTebow,440314,1030895,476,925.0294118,2165.745798,278000
85,tperkins,14670,20243,547,26.8190128,37.00731261,25100
86,VictoriaOsteen,571857,1003873,2950,193.8498305,340.2959322,720000
87,Willie_George,1458,3369,67,21.76119403,50.28358209,32200
88,williebosshog,10789,54936,108,99.89814815,508.6666667,2420000
